post_id,text,label,date,likes,shares
33,Had a really productive and positive day today 😊 #happy,0,2026-03-03,59,1
34,Enjoyed a nice walk and fresh air !!! #mentalhealth,0,2026-04-23,58,14
35,I am excited about upcoming opportunities !!!,0,2026-04-06,55,13
36,Feeling calm and mentally refreshed 💔 #life,0,2026-02-13,109,0
37,My anxiety is getting worse every day 💔 #anxiety,1,2026-02-24,13,9
38,My anxiety is getting worse every day 💔 #wellbeing,1,2026-01-24,30,5
39,Enjoyed a nice walk and fresh air  #life,0,2026-04-22,48,14
40,Feeling motivated to achieve my goals 🙏 #mentalhealth,0,2026-03-21,62,8
41,Nothing feels meaningful anymore 💙 #happy,1,2026-01-19,38,8
42,Life has been peaceful and balanced lately 🙏 #life,0,2026-03-12,73,6
43,Today was simple but really good ...,0,2026-03-23,72,17
44,I feel completely overwhelmed and exhausted lately 😊 #anxiety,1,2026-02-19,37,1
45,Nothing feels meaningful anymore 💙 #life,1,2026-04-26,0,6
46,Spent quality time with friends and laughed a lot 😊 #mentalhealth,0,2026-01-12,85,12
47,Just finished a great workout session 😊 #happy,0,2026-04-15,92,6
48,I can't stop overthinking everything  #happy,1,2026-01-24,38,5
49,Nothing feels meaningful anymore !!! #stress,1,2026-04-23,29,3
50,Feeling calm and mentally refreshed 💙 #peace,0,2026-04-20,106,14
51,I feel like I'm falling apart mentally ...,1,2026-02-10,5,5
52,Feeling calm and mentally refreshed  #mentalhealth,0,2026-01-08,70,17
53,I feel empty even when I'm around people 💙 #mentalhealth,1,2026-03-17,59,6
54,Life has been peaceful and balanced lately 🙂 #stress,0,2026-01-30,58,14
55,My mind won't stop racing at night 💙 #life,1,2026-01-27,0,2
56,My anxiety is getting worse every day 🙂 #stress,1,2026-04-21,3,5
57,My anxiety is getting worse every day 🙂 #anxiety,1,2026-01-19,47,7
58,Feeling grateful for everything in my life 💙 #peace,0,2026-02-13,54,16
59,Just finished a great workout session 💙 #happy,0,2026-01-24,75,0
60,My mind won't stop racing at night  #stress,1,2026-03-01,18,9
61,Just finished a great workout session !!! #stress,0,2026-03-28,57,1
62,Feeling grateful for everything in my life 😊 #wellbeing,0,2026-04-16,64,14
63,I struggle to get out of bed these days !!! #wellbeing,1,2026-01-24,34,1
64,Just finished a great workout session 🙂 #mentalhealth,0,2026-01-27,34,4
65,I feel completely overwhelmed and exhausted lately !!! #anxiety,1,2026-01-09,10,11
66,Feeling grateful for everything in my life 💙 #stress,0,2026-04-29,21,8
67,I feel empty even when I'm around people  #happy,1,2026-03-01,32,21
68,I feel like I'm falling apart mentally 🙏 #peace,1,2026-03-06,22,3
69,Just finished a great workout session 💙 #mentalhealth,0,2026-04-25,31,2
70,Just finished a great workout session 😊 #life,0,2026-03-28,29,19
71,Feeling calm and mentally refreshed 🙂 #mentalhealth,0,2026-03-03,77,2
72,Spent quality time with friends and laughed a lot 🙏 #wellbeing,0,2026-02-21,10,14
73,Sleep has been really bad due to stress  #stress,1,2026-03-01,33,0
74,I am excited about upcoming opportunities 🙂 #happy,0,2026-04-19,50,4
75,I feel like I'm falling apart mentally 🙂 #wellbeing,1,2026-02-09,0,6
76,Nothing feels meaningful anymore  #peace,1,2026-03-04,48,4
77,I am excited about upcoming opportunities  #happy,0,2026-03-31,40,21
78,Spent quality time with friends and laughed a lot 💔 #stress,0,2026-01-01,21,9
79,Had a really productive and positive day today 🙂 #anxiety,0,2026-03-30,28,17
80,I feel completely overwhelmed and exhausted lately 🙂,1,2026-04-13,13,13
81,I feel hopeless about the future 🙏 #life,1,2026-03-08,14,0
82,I feel hopeless about the future 😊 #happy,1,2026-02-26,14,4
83,Feeling grateful for everything in my life 😊 #stress,0,2026-04-04,71,16
84,I am excited about upcoming opportunities 😊 #stress,0,2026-03-31,77,15
85,Today was simple but really good 🙂 #mentalhealth,0,2026-04-04,49,12
86,I feel like I'm falling apart mentally ... #peace,1,2026-04-10,23,4
87,I feel empty even when I'm around people ... #stress,1,2026-02-27,72,6
88,Nothing feels meaningful anymore !!! #happy,1,2026-01-16,27,3
89,Feeling motivated to achieve my goals  #anxiety,0,2026-02-01,62,15
90,Feeling grateful for everything in my life 🙂,0,2026-02-02,113,0
91,My mind won't stop racing at night 😊 #mentalhealth,1,2026-03-08,32,10
92,Feeling calm and mentally refreshed 💙 #peace,0,2026-01-29,47,13
93,Enjoyed a nice walk and fresh air ... #mentalhealth,0,2026-01-26,31,19
94,Spent quality time with friends and laughed a lot ... #peace,0,2026-01-07,68,7
95,I can't stop overthinking everything  #peace,1,2026-01-29,23,3
96,My mind won't stop racing at night 🙂 #peace,1,2026-02-05,33,3
97,My anxiety is getting worse every day 🙏 #peace,1,2026-02-18,15,7
98,Feeling grateful for everything in my life 😊 #happy,0,2026-04-06,73,10
99,Nothing feels meaningful anymore 💔 #stress,1,2026-04-23,42,9
100,Life has been peaceful and balanced lately 💙 #peace,0,2026-01-30,60,17
101,I feel hopeless about the future  #peace,1,2026-03-27,16,4
102,Had a really productive and positive day today 😊 #wellbeing,0,2026-03-02,68,11
103,Nothing feels meaningful anymore 🙂 #life,1,2026-03-24,12,5
104,Life has been peaceful and balanced lately 🙏 #peace,0,2026-01-12,90,4
105,I can't stop overthinking everything  #wellbeing,1,2026-01-23,19,6
106,I feel hopeless about the future 🙂 #mentalhealth,1,2026-02-27,26,3
107,Feeling grateful for everything in my life 🙏 #life,0,2026-03-28,105,14
108,I struggle to get out of bed these days 🙏 #wellbeing,1,2026-01-09,34,11
109,Enjoyed a nice walk and fresh air 🙂 #peace,0,2026-01-07,24,9
110,Life has been peaceful and balanced lately 🙂 #anxiety,0,2026-01-27,48,13
111,Spent quality time with friends and laughed a lot 💙 #mentalhealth,0,2026-03-24,86,13
112,I struggle to get out of bed these days !!! #happy,1,2026-01-17,15,11
113,Spent quality time with friends and laughed a lot 🙏 #happy,0,2026-03-02,96,6
114,I am excited about upcoming opportunities 🙂 #happy,0,2026-01-19,59,5
115,Life has been peaceful and balanced lately !!! #stress,0,2026-04-02,99,14
116,Nothing feels meaningful anymore 🙏 #mentalhealth,1,2026-04-15,37,10
117,I am excited about upcoming opportunities 🙂,0,2026-03-04,38,11
118,I feel empty even when I'm around people 💙,1,2026-04-27,26,9
119,I struggle to get out of bed these days 💔 #stress,1,2026-04-11,37,1
120,Spent quality time with friends and laughed a lot 🙂 #stress,0,2026-02-16,96,17
121,I am excited about upcoming opportunities ... #peace,0,2026-04-27,37,21
122,My anxiety is getting worse every day 💔 #anxiety,1,2026-03-16,23,9
123,I feel hopeless about the future !!! #anxiety,1,2026-01-08,31,1
124,Had a really productive and positive day today 😊 #peace,0,2026-03-01,41,12
125,I can't stop overthinking everything 💔 #life,1,2026-03-05,17,5
126,Feeling grateful for everything in my life !!! #anxiety,0,2026-04-27,74,17
127,Life has been peaceful and balanced lately !!! #mentalhealth,0,2026-02-15,102,1
128,I feel like I'm falling apart mentally 💙 #peace,1,2026-01-10,42,4
129,I feel completely overwhelmed and exhausted lately !!! #life,1,2026-02-18,45,3
130,Feeling calm and mentally refreshed 💙 #anxiety,0,2026-02-28,66,13
131,I am excited about upcoming opportunities 😊 #anxiety,0,2026-04-09,65,9
132,My mind won't stop racing at night ... #mentalhealth,1,2026-01-05,25,6
133,Nothing feels meaningful anymore 💔 #wellbeing,1,2026-02-06,15,11
134,Life has been peaceful and balanced lately !!! #peace,0,2026-03-14,25,15
135,I feel hopeless about the future 🙏 #stress,1,2026-02-01,24,4
136,I am excited about upcoming opportunities !!! #happy,0,2026-01-03,89,12
137,My mind won't stop racing at night 💔 #wellbeing,1,2026-01-05,16,16
138,Feeling calm and mentally refreshed 🙂 #peace,0,2026-04-11,97,17
139,Feeling motivated to achieve my goals 💙 #wellbeing,0,2026-02-07,65,12
140,My mind won't stop racing at night ...,1,2026-03-23,7,0
141,Sleep has been really bad due to stress  #stress,1,2026-02-21,0,13
142,I feel hopeless about the future  #happy,1,2026-01-30,39,7
143,My anxiety is getting worse every day 💔 #anxiety,1,2026-01-04,43,5
144,My anxiety is getting worse every day 💙 #peace,1,2026-03-25,30,5
145,Spent quality time with friends and laughed a lot 💙 #happy,0,2026-03-18,69,3
146,Had a really productive and positive day today 🙂 #stress,0,2026-04-21,32,14
147,Just finished a great workout session 😊,0,2026-03-08,61,18
148,I feel like I'm falling apart mentally 💙 #wellbeing,1,2026-03-02,17,2
149,Just finished a great workout session !!! #stress,0,2026-01-21,102,26
150,Enjoyed a nice walk and fresh air 🙂 #mentalhealth,0,2026-02-15,61,0
151,I feel like I'm falling apart mentally 💙 #happy,1,2026-03-14,24,2
152,I feel hopeless about the future  #life,1,2026-02-25,23,5
153,I feel hopeless about the future 💙 #mentalhealth,1,2026-04-23,27,6
154,Sleep has been really bad due to stress 🙏,1,2026-02-25,60,4
155,Feeling calm and mentally refreshed ...,0,2026-03-29,53,12
156,Today was simple but really good !!!,0,2026-04-25,74,13
157,Enjoyed a nice walk and fresh air,0,2026-04-21,30,2
158,Feeling motivated to achieve my goals 💙 #peace,0,2026-04-29,55,11
159,Feeling calm and mentally refreshed  #stress,0,2026-04-13,61,6
160,Feeling motivated to achieve my goals  #mentalhealth,0,2026-01-13,102,17
161,Nothing feels meaningful anymore 💙 #peace,1,2026-04-19,63,3
162,I struggle to get out of bed these days ... #mentalhealth,1,2026-04-21,18,12
163,Enjoyed a nice walk and fresh air 🙏 #stress,0,2026-02-10,77,10
164,I feel like I'm falling apart mentally 🙏 #stress,1,2026-02-28,4,8
165,Feeling grateful for everything in my life !!! #wellbeing,0,2026-03-11,54,0
166,I struggle to get out of bed these days  #wellbeing,1,2026-03-03,12,3
167,I feel completely overwhelmed and exhausted lately 💙 #wellbeing,1,2026-04-29,27,9
168,I feel like I'm falling apart mentally 🙂 #wellbeing,1,2026-03-20,16,9
169,Just finished a great workout session 🙂 #anxiety,0,2026-02-20,74,16
170,Nothing feels meaningful anymore !!! #wellbeing,1,2026-01-26,38,2
171,Feeling calm and mentally refreshed 💙,0,2026-04-28,37,15
172,I feel empty even when I'm around people 💔 #wellbeing,1,2026-01-12,28,2
173,Just finished a great workout session 🙂 #wellbeing,0,2026-02-06,79,12
174,Life has been peaceful and balanced lately !!! #happy,0,2026-01-03,56,9
175,Just finished a great workout session 🙏 #life,0,2026-01-23,24,13
176,I feel like I'm falling apart mentally 🙂 #mentalhealth,1,2026-03-25,37,1
177,I feel like I'm falling apart mentally 🙏,1,2026-03-16,60,3
178,I can't stop overthinking everything 🙂 #peace,1,2026-04-05,27,6
179,I am excited about upcoming opportunities ... #stress,0,2026-02-04,64,14
180,Just finished a great workout session ... #anxiety,0,2026-04-03,68,9
181,I am excited about upcoming opportunities 💔 #wellbeing,0,2026-01-30,48,14
182,Feeling motivated to achieve my goals 😊,0,2026-03-19,4,14
183,I feel completely overwhelmed and exhausted lately 🙂 #anxiety,1,2026-03-30,17,13
184,I feel empty even when I'm around people 😊 #life,1,2026-02-01,0,4
185,I feel completely overwhelmed and exhausted lately 💙 #stress,1,2026-01-15,0,9
186,Had a really productive and positive day today 🙏 #stress,0,2026-03-07,82,12
187,I can't stop overthinking everything  #mentalhealth,1,2026-02-20,0,2
188,My mind won't stop racing at night 💙,1,2026-02-11,30,4
189,Nothing feels meaningful anymore ... #happy,1,2026-04-26,32,12
190,My mind won't stop racing at night 😊 #happy,1,2026-02-26,8,2
191,Nothing feels meaningful anymore 😊 #life,1,2026-03-09,47,7
192,Nothing feels meaningful anymore !!! #wellbeing,1,2026-04-07,26,2
193,Spent quality time with friends and laughed a lot 😊 #stress,0,2026-04-19,53,6
194,My anxiety is getting worse every day 💔 #mentalhealth,1,2026-01-05,0,4
195,My mind won't stop racing at night 🙂 #anxiety,1,2026-01-27,45,10
196,I feel hopeless about the future !!! #anxiety,1,2026-02-12,42,7
197,My anxiety is getting worse every day ... #life,1,2026-04-14,0,11
198,I am excited about upcoming opportunities  #mentalhealth,0,2026-02-15,79,13
199,I am excited about upcoming opportunities ...,0,2026-03-23,54,12
200,I can't stop overthinking everything !!! #happy,1,2026-03-17,43,8
201,Feeling calm and mentally refreshed 💔,0,2026-01-09,99,8
202,Sleep has been really bad due to stress !!! #peace,1,2026-03-27,15,4
203,Life has been peaceful and balanced lately 💙 #mentalhealth,0,2026-03-28,123,15
204,Feeling motivated to achieve my goals  #stress,0,2026-03-14,40,15
205,Sleep has been really bad due to stress !!! #anxiety,1,2026-01-26,9,0
206,I feel completely overwhelmed and exhausted lately  #anxiety,1,2026-03-16,24,9
207,Enjoyed a nice walk and fresh air  #stress,0,2026-04-01,22,10
208,Life has been peaceful and balanced lately 💔 #anxiety,0,2026-02-20,71,2
209,Feeling motivated to achieve my goals 💔 #life,0,2026-04-27,54,16
210,I feel hopeless about the future 💙 #mentalhealth,1,2026-01-22,14,3
211,Spent quality time with friends and laughed a lot !!!,0,2026-03-22,40,11
212,I feel hopeless about the future 💙,1,2026-02-18,9,1
213,Just finished a great workout session  #life,0,2026-02-20,64,11
214,Feeling grateful for everything in my life 💔 #stress,0,2026-01-29,24,20
215,I feel like I'm falling apart mentally 💙 #peace,1,2026-01-19,45,0
216,Today was simple but really good ...,0,2026-04-24,99,11
217,Feeling calm and mentally refreshed ... #wellbeing,0,2026-01-08,24,7
218,I feel hopeless about the future ... #anxiety,1,2026-04-07,39,11
219,Just finished a great workout session 💔 #peace,0,2026-04-29,40,8
220,Feeling motivated to achieve my goals 💙 #mentalhealth,0,2026-03-13,62,11
221,Spent quality time with friends and laughed a lot ... #mentalhealth,0,2026-04-07,102,14
222,I feel hopeless about the future 🙏 #stress,1,2026-03-29,35,7
223,I feel empty even when I'm around people  #peace,1,2026-03-09,0,2
224,Today was simple but really good 💔 #mentalhealth,0,2026-03-15,18,22
225,I feel empty even when I'm around people 💔 #stress,1,2026-02-16,2,10
226,I struggle to get out of bed these days 🙏 #peace,1,2026-03-08,1,8
227,I feel completely overwhelmed and exhausted lately 🙏 #peace,1,2026-02-07,15,11
228,I feel completely overwhelmed and exhausted lately 🙂 #peace,1,2026-04-09,39,5
229,I can't stop overthinking everything  #mentalhealth,1,2026-03-22,59,0
230,I feel completely overwhelmed and exhausted lately 💔,1,2026-03-07,4,8
231,Just finished a great workout session  #anxiety,0,2026-04-17,33,10
232,I can't stop overthinking everything 🙂 #peace,1,2026-04-08,0,8
233,Sleep has been really bad due to stress 😊 #mentalhealth,1,2026-01-25,52,5
234,I am excited about upcoming opportunities  #mentalhealth,0,2026-03-27,66,17
235,My mind won't stop racing at night 🙂 #happy,1,2026-02-22,0,0
236,Enjoyed a nice walk and fresh air 💔 #mentalhealth,0,2026-03-05,69,11
237,Spent quality time with friends and laughed a lot 😊 #wellbeing,0,2026-02-22,24,15
238,Today was simple but really good 💙 #wellbeing,0,2026-02-09,80,11
239,Sleep has been really bad due to stress  #peace,1,2026-04-14,10,16
240,My mind won't stop racing at night !!! #peace,1,2026-04-28,24,1
241,Today was simple but really good 🙂 #mentalhealth,0,2026-04-21,75,2
242,Spent quality time with friends and laughed a lot 💙 #peace,0,2026-03-03,47,25
243,Feeling grateful for everything in my life 🙏 #stress,0,2026-02-09,59,22
244,I can't stop overthinking everything 😊 #happy,1,2026-02-11,13,5
245,Had a really productive and positive day today !!!,0,2026-04-18,32,17
246,My mind won't stop racing at night  #peace,1,2026-01-19,39,3
247,I feel completely overwhelmed and exhausted lately 💙 #peace,1,2026-01-17,23,8
248,Feeling motivated to achieve my goals  #mentalhealth,0,2026-03-03,92,16
249,I feel empty even when I'm around people 💔 #stress,1,2026-03-21,18,8
250,I am excited about upcoming opportunities 😊 #stress,0,2026-01-15,52,12
251,I can't stop overthinking everything 💔 #happy,1,2026-02-01,31,6
252,Feeling grateful for everything in my life 🙂 #happy,0,2026-03-26,11,10
253,Feeling motivated to achieve my goals 💔,0,2026-01-07,71,10
254,My anxiety is getting worse every day  #peace,1,2026-03-28,34,9
255,I am excited about upcoming opportunities 💔,0,2026-04-09,83,8
256,Just finished a great workout session 😊 #life,0,2026-01-31,82,0
257,I am excited about upcoming opportunities ... #peace,0,2026-01-03,33,19
258,I feel completely overwhelmed and exhausted lately 😊 #stress,1,2026-04-18,45,7
259,My mind won't stop racing at night 🙂 #peace,1,2026-03-27,40,0
260,My mind won't stop racing at night 🙂 #happy,1,2026-02-11,21,9
261,Just finished a great workout session  #peace,0,2026-02-03,77,12
262,I can't stop overthinking everything !!!,1,2026-02-08,63,3
263,Feeling grateful for everything in my life  #anxiety,0,2026-01-10,53,8
264,I feel like I'm falling apart mentally ... #anxiety,1,2026-03-06,18,4
265,Feeling grateful for everything in my life 🙏 #anxiety,0,2026-01-30,71,16
266,I feel like I'm falling apart mentally  #peace,1,2026-02-17,0,1
267,I feel like I'm falling apart mentally 🙂,1,2026-01-12,33,0
268,My anxiety is getting worse every day ... #peace,1,2026-03-04,24,8
269,I struggle to get out of bed these days 😊 #wellbeing,1,2026-01-25,23,6
270,Feeling calm and mentally refreshed 🙂,0,2026-04-03,89,21
271,I am excited about upcoming opportunities 🙂 #stress,0,2026-03-15,56,8
272,Feeling calm and mentally refreshed ...,0,2026-01-03,71,15
273,Sleep has been really bad due to stress 🙂 #stress,1,2026-03-28,46,3
274,Nothing feels meaningful anymore 🙏 #peace,1,2026-03-29,23,9
275,Sleep has been really bad due to stress  #mentalhealth,1,2026-04-21,23,10
276,Had a really productive and positive day today 💙 #happy,0,2026-04-02,44,11
277,Nothing feels meaningful anymore 🙂 #wellbeing,1,2026-02-11,33,10
278,My anxiety is getting worse every day 💙 #mentalhealth,1,2026-02-28,10,2
279,Just finished a great workout session 😊 #happy,0,2026-01-05,61,8
280,Sleep has been really bad due to stress 💔 #peace,1,2026-02-17,17,6
281,I feel like I'm falling apart mentally,1,2026-02-09,25,10
282,I feel empty even when I'm around people  #happy,1,2026-03-08,44,1
283,I feel like I'm falling apart mentally 💙 #happy,1,2026-04-19,27,12
284,My anxiety is getting worse every day 💔 #wellbeing,1,2026-04-02,37,8
285,I struggle to get out of bed these days 💔 #life,1,2026-02-11,29,3
286,Feeling motivated to achieve my goals 💔,0,2026-01-05,50,6
287,I can't stop overthinking everything,1,2026-01-31,12,9
288,Life has been peaceful and balanced lately ... #wellbeing,0,2026-01-13,64,12
289,Sleep has been really bad due to stress ... #stress,1,2026-04-05,21,6
290,Spent quality time with friends and laughed a lot !!! #stress,0,2026-03-12,73,12
291,I am excited about upcoming opportunities 🙂 #anxiety,0,2026-03-01,73,7
292,Sleep has been really bad due to stress !!! #wellbeing,1,2026-01-20,18,6
293,Enjoyed a nice walk and fresh air  #life,0,2026-01-17,78,17
294,Enjoyed a nice walk and fresh air ... #mentalhealth,0,2026-01-22,47,12
295,Sleep has been really bad due to stress 😊,1,2026-03-05,16,13
296,I feel completely overwhelmed and exhausted lately 🙏 #wellbeing,1,2026-02-21,48,5
297,I can't stop overthinking everything 😊,1,2026-01-26,23,1
298,Nothing feels meaningful anymore ... #wellbeing,1,2026-04-09,6,5
299,My anxiety is getting worse every day ... #wellbeing,1,2026-01-29,37,4
300,I struggle to get out of bed these days  #life,1,2026-03-25,5,9
301,My mind won't stop racing at night 😊 #stress,1,2026-04-18,0,3
302,Feeling motivated to achieve my goals 💙 #mentalhealth,0,2026-02-07,42,7
303,I am excited about upcoming opportunities 😊 #mentalhealth,0,2026-01-25,72,22
304,Just finished a great workout session 🙏 #peace,0,2026-01-27,68,14
305,I feel completely overwhelmed and exhausted lately 🙂 #anxiety,1,2026-02-15,19,6
306,I feel completely overwhelmed and exhausted lately 💔 #anxiety,1,2026-02-13,43,7
307,Life has been peaceful and balanced lately !!! #happy,0,2026-03-19,100,21
308,Spent quality time with friends and laughed a lot !!! #happy,0,2026-01-09,58,3
309,Enjoyed a nice walk and fresh air 🙏 #mentalhealth,0,2026-04-28,82,1
310,Today was simple but really good !!! #stress,0,2026-03-05,53,11
311,Just finished a great workout session 🙏 #stress,0,2026-03-05,68,11
312,Sleep has been really bad due to stress 💔,1,2026-01-11,36,7
313,Nothing feels meaningful anymore 🙂,1,2026-01-08,39,9
314,Feeling motivated to achieve my goals 🙏 #mentalhealth,0,2026-03-17,120,11
315,Sleep has been really bad due to stress ... #peace,1,2026-03-15,25,2
316,I feel like I'm falling apart mentally 💔,1,2026-01-30,9,4
317,Nothing feels meaningful anymore 💙 #wellbeing,1,2026-02-15,38,8
318,Just finished a great workout session 😊 #stress,0,2026-02-13,66,7
319,I feel like I'm falling apart mentally ... #peace,1,2026-01-06,50,11
320,Nothing feels meaningful anymore 🙂 #wellbeing,1,2026-02-10,35,7
321,Nothing feels meaningful anymore 🙂 #life,1,2026-03-03,32,11
322,Today was simple but really good  #peace,0,2026-03-16,62,17
323,I feel empty even when I'm around people ... #stress,1,2026-01-26,16,5
324,Spent quality time with friends and laughed a lot 💔 #happy,0,2026-01-14,43,9
325,My anxiety is getting worse every day 🙂 #peace,1,2026-01-19,32,3
326,Sleep has been really bad due to stress 🙂 #anxiety,1,2026-02-20,5,10
327,I can't stop overthinking everything 😊 #peace,1,2026-02-28,8,8
328,I struggle to get out of bed these days !!! #happy,1,2026-04-03,4,4
329,I feel empty even when I'm around people 🙏 #anxiety,1,2026-02-18,30,8
330,I feel hopeless about the future 💔 #happy,1,2026-01-20,45,9
331,Nothing feels meaningful anymore  #peace,1,2026-03-01,1,14
332,I struggle to get out of bed these days 😊,1,2026-04-10,0,3
333,My anxiety is getting worse every day 🙏 #stress,1,2026-04-28,5,0
334,I am excited about upcoming opportunities ... #mentalhealth,0,2026-01-21,44,14
335,I feel like I'm falling apart mentally 🙂 #peace,1,2026-04-22,49,11
336,Feeling calm and mentally refreshed 😊,0,2026-01-02,68,10
337,Life has been peaceful and balanced lately 💔 #wellbeing,0,2026-03-03,55,6
338,I struggle to get out of bed these days 😊 #stress,1,2026-04-13,42,0
339,Just finished a great workout session 🙂 #anxiety,0,2026-03-30,27,18
340,My mind won't stop racing at night 💙 #mentalhealth,1,2026-02-25,3,3
341,Just finished a great workout session 💔 #wellbeing,0,2026-01-10,7,13
342,My anxiety is getting worse every day 🙏 #life,1,2026-01-01,57,0
343,I feel completely overwhelmed and exhausted lately 💔,1,2026-02-26,19,4
344,Feeling grateful for everything in my life 😊 #stress,0,2026-02-06,72,0
345,I feel hopeless about the future 🙏 #wellbeing,1,2026-04-30,30,11
346,Sleep has been really bad due to stress ... #wellbeing,1,2026-04-18,17,6
347,My mind won't stop racing at night 🙏 #wellbeing,1,2026-03-14,35,6
348,Feeling grateful for everything in my life  #wellbeing,0,2026-04-29,44,8
349,Feeling motivated to achieve my goals 🙂 #anxiety,0,2026-02-02,45,12
350,Spent quality time with friends and laughed a lot,0,2026-02-22,109,10
351,Spent quality time with friends and laughed a lot ... #mentalhealth,0,2026-03-30,82,14
352,Life has been peaceful and balanced lately ... #life,0,2026-04-21,6,13
353,I feel like I'm falling apart mentally 💔 #stress,1,2026-01-23,10,8
354,My anxiety is getting worse every day  #mentalhealth,1,2026-04-24,33,2
355,Spent quality time with friends and laughed a lot 🙂 #life,0,2026-04-12,55,13
356,I struggle to get out of bed these days 💙 #happy,1,2026-02-24,24,6
357,Today was simple but really good 💙 #mentalhealth,0,2026-03-23,84,13
358,I feel hopeless about the future 💙 #stress,1,2026-03-17,27,4
359,I feel empty even when I'm around people ... #happy,1,2026-01-01,34,1
360,Today was simple but really good 🙂 #peace,0,2026-03-10,13,17
361,Enjoyed a nice walk and fresh air 🙏 #peace,0,2026-03-05,85,10
362,I can't stop overthinking everything 😊 #life,1,2026-03-18,15,4
363,I can't stop overthinking everything 🙂 #anxiety,1,2026-04-12,42,1
364,I feel empty even when I'm around people ... #life,1,2026-03-23,19,9
365,I can't stop overthinking everything 💔 #life,1,2026-01-01,26,1
366,Enjoyed a nice walk and fresh air !!! #mentalhealth,0,2026-01-15,93,21
367,My anxiety is getting worse every day,1,2026-01-19,10,0
368,Life has been peaceful and balanced lately 😊,0,2026-04-23,52,11
369,I feel hopeless about the future 💙 #life,1,2026-03-13,41,12
370,Feeling calm and mentally refreshed 💔,0,2026-01-03,75,12
371,I feel completely overwhelmed and exhausted lately 🙂,1,2026-01-28,4,0
372,I feel like I'm falling apart mentally !!! #mentalhealth,1,2026-02-13,0,3
373,Sleep has been really bad due to stress  #mentalhealth,1,2026-02-15,21,7
374,My anxiety is getting worse every day ... #happy,1,2026-01-15,23,0
375,Feeling grateful for everything in my life 🙏 #peace,0,2026-03-19,17,11
376,Today was simple but really good ... #wellbeing,0,2026-01-27,61,16
377,My mind won't stop racing at night 💔,1,2026-04-16,47,9
378,Feeling calm and mentally refreshed !!! #mentalhealth,0,2026-01-04,62,19
379,Feeling grateful for everything in my life 💙 #wellbeing,0,2026-04-18,62,3
380,Sleep has been really bad due to stress 💙 #wellbeing,1,2026-02-25,16,8
381,I struggle to get out of bed these days  #wellbeing,1,2026-03-25,45,5
382,I feel like I'm falling apart mentally 😊 #anxiety,1,2026-04-30,9,6
383,I am excited about upcoming opportunities ... #peace,0,2026-01-22,61,12
384,Life has been peaceful and balanced lately 🙏,0,2026-01-09,33,14
385,Feeling grateful for everything in my life 😊 #mentalhealth,0,2026-02-11,53,16
386,Feeling grateful for everything in my life !!! #mentalhealth,0,2026-02-06,86,6
387,I struggle to get out of bed these days 🙏 #life,1,2026-02-08,14,7
388,My mind won't stop racing at night ... #mentalhealth,1,2026-04-07,7,4
